Savoy,Daron,Fairfield,17,10.25
Stevenson,Shaniya,Vacaville,15.75,14
Langlois,Darin,Fairfield,13.5,21
Layne,Casandra,Vacaville,15,21.75
Backus,Felipe,Fairfield,12.25,16.5
Anderson,Andrew,Vacaville,12,21
Brody,Irwin,Vacaville,13.25,13.5
Polanco,Belva,Dixon,16.75,20.5
Cummings,Savanna,Dixon,15.5,25.25
Nevarez,Cecile,Fairfield,19.25,12.5
Winfrey,Humberto,Vacaville,14,26.75
Quinn,Shamika,Vallejo,19.25,9.5
Crocker,Leanne,Vacaville,16,20.75
Strassberg,Gerson,Vallejo,13.75,20.5
Mcnair,Alena,Fairfield,17,21.75
Harper,Brennon,Fairfield,16,18.25
Tomlin,Ellen,Vallejo,13.25,9.75
Zeller,Lavern,Elmira,13.75,24
Barnett,Rosalyn,Vallejo,12.75,13.25
Couture,Tremayne,Fairfield,15.25,18.25
Mccool,Deon,Fairfield,16.5,20.5
Powell,Neta,Fairfield,16.5,18.25
Steel,Fletcher,Fairfield,16.5,16.25
Anderson,Valary,Vacaville,18.75,22.5
Brown,Michael,Fairfield,14.5,24
Youngblood,Maribeth,Fairfield,19.25,8
Cedeno,Dusty,Vallejo,19.5,8.25
Flanagan,Giselle,Fairfield,18,16.75
Cosgrove,Mitch,Fairfield,14.5,24.5
Lear,Shande,Vallejo,19.75,14.25
Field,Jill,Suisun,19.5,17.5
Ellington,Jame,Fairfield,16.25,14.25
Layman,Lanny,Suisun,19,14.25
Mccormick,Sonia,Fairfield,19.5,18.25
Knapp,Zelda,Vacaville,19.25,20
Hogg,Darrien,Fairfield,14,26.75
Rey,Alvino,Vacaville,14.25,20
Ridley,Fannie,Fairfield,17.5,16.25
Wheaton,Ronnie,Fairfield,18.25,16
Crandall,Walker,Fairfield,19.75,16.5
Garero,Devon,Vacaville,19.25,15.5
Rupert,Barrett,Fairfield,19.25,14
Johnsen,Damian,Dixon,13.75,27
Wildon,Sarah,Pinole,19.5,14.5
Ruff,Alma,Vallejo,18.25,14.5
Kearns,Ashanti,Fairfield,19.75,12.5
Donohue,Brook,Vallejo,19.25,9.5
Lopez,Dudley,Suisun,16,7.25
Larue,Emogene,Fairfield,19.25,10.5
Beatty,Jaylene,Fairfield,18,21
Walsh,Joe,Fairfield,19.75,11.75
Hoyt,Laquita,Vallejo,13.5,8.5
Gaddis,Rand,Vacaville,13.25,13.75
Dillon,Trena,Vallejo,13.75,11
Simpson,Ona,Vacaville,18,23.75
Conger,Garett,Fairfield,19.5,17.75
Lanham,Malcolm,Vallejo,15.5,14.75
Tindall,Jacob,Travis,12,21.75
Parkinson,Carl,Pinole,13,12.5
Warez,Amber,Fairfield,19.5,5
